year,state,ell,not ell
2015,National,188.964396136,226.429171969
2015,Alabama,,217.839210528
2015,Alaska,164.599756492,221.150408805
2015,Arizona,165.320050473,220.810756168
2015,Arkansas,203.684341788,219.309619305
2015,California,182.867955911,224.183652516
2015,Colorado,185.209512847,230.220953483
2015,Connecticut,190.144915454,231.675675125
2015,Delaware,177.473408725,225.95753257
2015,District of Columbia,176.652773332,214.428832246
2015,DoDEA,212.954671849,235.693759813
2015,Florida,200.951699869,229.909250837
2015,Georgia,187.732516912,223.671601707
2015,Hawaii,164.294595214,218.893214174
2015,Idaho,159.762106487,224.597636431
2015,Illinois,183.843438919,226.250457629
2015,Indiana,199.01464273,229.561159472
2015,Iowa,197.380513451,225.734584564
2015,Kansas,201.063783045,224.174663722
2015,Kentucky,200.900503658,228.775868385
2015,Louisiana,,216.819184241
2015,Maine,186.439372866,224.93548984
2015,Maryland,192.84173487,225.447286468
2015,Massachusetts,199.971186342,238.67894809
2015,Michigan,202.467679547,216.962786432
2015,Minnesota,178.601804144,228.063688132
2015,Mississippi,,214.258015982
2015,Missouri,203.427081025,223.241440587
2015,Montana,175.208547719,226.099426942
2015,Nebraska,192.922527967,229.016973827
2015,Nevada,189.694469935,222.41727968
2015,New Hampshire,206.100920592,232.843179352
2015,New Jersey,,230.622793535
2015,New Mexico,170.810533019,214.141675222
2015,New York,184.03414023,225.703510567
2015,North Carolina,186.507619758,228.515143737
2015,North Dakota,,225.653472857
2015,Ohio,202.01265697,225.805182455
2015,Oklahoma,196.611109258,223.521630157
2015,Oregon,180.227253443,226.1537182
2015,Pennsylvania,170.242111658,228.660717512
2015,Rhode Island,182.08942692,228.776150516
2015,South Carolina,201.420835373,219.342734141
2015,South Dakota,170.023253232,221.822151929
2015,Tennessee,200.045530767,219.409921173
2015,Texas,197.824400594,223.529986791
2015,Utah,174.336677105,228.302706487
2015,Vermont,,230.504898546
2015,Virginia,188.704045022,231.639118795
2015,Washington,189.252888186,231.392387403
2015,West Virginia,,216.296166723
2015,Wisconsin,197.823316563,225.224672889
2015,Wyoming,,229.308691102
