year,state,ell,not ell
2015,National,223.079179757,268.063709233
2015,Alabama,,259.208746601
2015,Alaska,210.830892507,266.435688129
2015,Arizona,206.050908018,264.85266152
2015,Arkansas,245.039327364,259.79338857
2015,California,215.277609396,266.091524461
2015,Colorado,228.82360176,272.94283347
2015,Connecticut,217.273231702,274.858522873
2015,Delaware,,263.366337238
2015,District of Columbia,217.824905569,249.127647922
2015,DoDEA,249.005111233,278.679396501
2015,Florida,225.874620449,265.297259353
2015,Georgia,233.429032449,263.174723045
2015,Hawaii,213.628455851,260.229806329
2015,Idaho,,269.86092406
2015,Illinois,219.057157857,269.302286615
2015,Indiana,248.513083956,269.300275873
2015,Iowa,235.053185809,269.654226088
2015,Kansas,250.228911009,268.727258191
2015,Kentucky,235.711445985,268.202446592
2015,Louisiana,,255.785235906
2015,Maine,239.383120205,269.228413788
2015,Maryland,231.896969504,268.857824541
2015,Massachusetts,225.164174881,277.169531441
2015,Michigan,236.806027893,265.425053027
2015,Minnesota,233.675479973,272.713174657
2015,Mississippi,,252.54151078
2015,Missouri,,267.568806246
2015,Montana,,270.723257836
2015,Nebraska,,270.49721211
2015,Nevada,225.911322934,265.262181908
2015,New Hampshire,,275.277875817
2015,New Jersey,,271.861478235
2015,New Mexico,219.17523804,258.341219796
2015,New York,214.647858323,266.103441004
2015,North Carolina,216.846974039,262.594080661
2015,North Dakota,,267.658696055
2015,Ohio,226.842258078,267.178901251
2015,Oklahoma,238.897130402,263.945038463
2015,Oregon,207.034658078,269.44197558
2015,Pennsylvania,217.864059628,269.886023036
2015,Rhode Island,208.890261072,267.791037241
2015,South Carolina,241.610304065,261.207129045
2015,South Dakota,,268.11364778
2015,Tennessee,,265.645727636
2015,Texas,223.825080153,265.017935527
2015,Utah,213.142046161,271.393182054
2015,Vermont,,274.654181969
2015,Virginia,230.565774496,268.713849615
2015,Washington,223.089799795,270.317321869
2015,West Virginia,,260.279023654
2015,Wisconsin,233.529119201,271.098289669
2015,Wyoming,,269.809347085
