year,state,ell,not ell
2015,National,218.455027508,243.010537212
2015,Alabama,,231.60292
2015,Alaska,209.023566,241.0730641
2015,Arizona,206.234326362,241.123931504
2015,Arkansas,225.945746081,236.004425919
2015,California,211.026469975,239.502387421
2015,Colorado,213.199287696,246.171204314
2015,Connecticut,216.850784227,241.825999915
2015,Delaware,215.065809966,239.838903818
2015,District of Columbia,210.705212752,232.689235882
2015,DoDEA,231.228257259,249.097781851
2015,Florida,220.46602444,244.972871285
2015,Georgia,216.064452172,237.647779182
2015,Hawaii,201.292517796,240.615550523
2015,Idaho,201.11274135,240.653268943
2015,Illinois,211.458152284,240.178695107
2015,Indiana,233.990033831,248.711772055
2015,Iowa,220.802462855,245.062117271
2015,Kansas,223.742197964,243.7984828
2015,Kentucky,220.379021331,242.540540455
2015,Louisiana,,234.363509646
2015,Maine,210.913490033,243.300076254
2015,Maryland,218.42734712,241.371358552
2015,Massachusetts,223.493020912,253.399232873
2015,Michigan,218.989387144,236.527888625
2015,Minnesota,220.845726892,252.626449147
2015,Mississippi,,234.522122851
2015,Missouri,,239.5085398
2015,Montana,203.982899067,242.485144532
2015,Nebraska,217.072090506,245.896162013
2015,Nevada,219.380695011,238.523029391
2015,New Hampshire,231.556042527,249.695842776
2015,New Jersey,,246.125305296
2015,New Mexico,213.446250429,234.698809912
2015,New York,209.311189514,239.133221433
2015,North Carolina,216.316121316,245.639980874
2015,North Dakota,,245.307079508
2015,Ohio,225.275559175,244.400542721
2015,Oklahoma,220.720191653,241.097184541
2015,Oregon,212.718390366,241.491854527
2015,Pennsylvania,216.541562535,244.131723171
2015,Rhode Island,210.149835062,240.167479169
2015,South Carolina,232.812554214,237.432379493
2015,South Dakota,,240.68690864
2015,Tennessee,232.56124208,241.069261743
2015,Texas,232.641223546,247.281802901
2015,Utah,206.526244346,244.104157192
2015,Vermont,,243.541817768
2015,Virginia,222.503784253,248.196978062
2015,Washington,215.073099807,249.539152728
2015,West Virginia,,235.168554814
2015,Wisconsin,225.260707364,244.75456144
2015,Wyoming,216.925675125,247.824709584
