year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,165.118170299,135.145896666,142.22517301,172.25957123,147.968097612,139.591590168,163.916669593
2015,Alabama,158.297506025,125.878619837,135.910136005,,,,152.267180092
2015,Arizona,162.878515375,140.287139122,140.224312397,,128.450339624,,166.700581819
2015,Arkansas,159.895820143,130.659943995,138.049637675,,151.393490692,,167.45637472
2015,California,152.162075016,127.750144956,131.841397343,170.886617032,,,162.427789841
2015,Colorado,,,,,,,
2015,Connecticut,163.991060784,130.970515496,141.002367916,169.64513345,,,165.447479583
2015,Delaware,163.76901936,135.018990665,140.586642629,171.91217985,,,154.244907144
2015,DoDEA,172.47969966,151.712779008,163.207759329,162.708695739,,,170.849192261
2015,Florida,169.578469564,139.707244503,153.492563451,,,,168.005735599
2015,Georgia,166.543438722,137.350282558,142.056045226,,,,160.885240586
2015,Hawaii,156.264174343,133.406424528,138.465008438,162.102800665,,135.241084013,156.344558951
2015,Idaho,162.239274657,,141.828447731,,149.285353913,,162.764511403
2015,Illinois,165.149288724,127.195236081,139.443316476,173.633322277,,,161.907977465
2015,Indiana,166.628183943,137.406356991,145.976446556,,,,164.880043419
2015,Iowa,165.035015068,139.595879685,144.440736524,,,,160.090707024
2015,Kansas,162.42177389,139.577159596,142.218310296,,147.642329333,,158.939354604
2015,Kentucky,164.993474066,142.652435976,146.583993939,,,,166.635407893
2015,Louisiana,,,,,,,
2015,Maine,160.29191852,133.11709127,153.364928312,,150.300300362,,157.632746509
2015,Maryland,168.224574257,135.775548099,140.480480294,178.651629285,,,164.932621085
2015,Massachusetts,169.457891945,139.259832773,143.137981013,179.999447445,,,165.857897394
2015,Michigan,162.410537652,125.193716459,142.72254278,171.369525562,150.307805262,,161.223020828
2015,Minnesota,166.354099826,130.320072583,145.444364319,154.148519623,149.366922023,,156.929972481
2015,Mississippi,159.083172887,126.666244221,127.591508314,,,,149.521488014
2015,Missouri,164.91871697,126.752514795,145.754205238,,151.953056912,,158.010614305
2015,Montana,164.23523626,,153.601459247,,140.456870774,,163.110100799
2015,Nebraska,170.93864793,139.207491083,146.949645778,,150.578721457,,167.883364175
2015,Nevada,154.174265766,127.153416203,135.184718062,158.523858209,142.365973279,,151.391431636
2015,New Hampshire,167.711091823,,152.489216518,,,,173.823824165
2015,New Jersey,165.30973114,135.930117343,140.293581215,177.694958579,,,173.273496547
2015,New Mexico,154.242816672,129.740091942,138.710886776,,133.50842366,,158.489944821
2015,New York,161.801332895,133.470392104,138.716989886,163.752969038,139.704844068,,161.586613024
2015,North Carolina,166.970419041,137.10625679,142.259877573,,142.696626201,,159.53222172
2015,North Dakota,165.315187069,140.815049396,153.536364227,,146.615464792,,163.899891849
2015,Ohio,164.886077295,130.675623987,147.754881655,,,,164.449843985
2015,Oklahoma,160.221374061,139.534652053,143.126595812,,152.995969894,,158.284356809
2015,Oregon,162.750899391,136.473713921,137.929809583,166.77433861,143.864192095,,159.918041303
2015,Pennsylvania,,,,,,,
2015,Rhode Island,161.576864095,138.307488675,139.078542273,158.536509041,,,164.120738754
2015,South Carolina,169.372798286,135.153211313,147.387828194,,,,164.934545256
2015,South Dakota,162.935335116,139.679523806,148.153396519,,135.87843379,,162.510063336
2015,Tennessee,165.954371628,139.710090589,142.178102343,,,,169.161029368
2015,Texas,165.252345139,141.207026945,148.766223671,188.564186893,,,173.486479954
2015,Utah,166.272516173,,134.293690267,,,,160.59962674
2015,Vermont,165.289085041,141.272270521,154.310635852,,,,164.314656763
2015,Virginia,173.956777512,147.310121511,153.688278782,184.238014362,,,170.215387998
2015,Washington,167.616910595,139.469999621,140.75981652,171.898510423,147.635553859,,170.026176974
2015,West Virginia,153.634573217,133.598829501,140.490848641,,147.042613033,,153.215909189
2015,Wisconsin,166.75517447,119.876815074,142.895143568,156.144694263,150.150267972,,153.910317545
2015,Wyoming,166.254414967,,152.464098639,,145.961203413,,159.988850236
