year,state,ell,not ell
2015,National,3.55638200329,36.092690057
2015,Alabama,,21.5677717561
2015,Alaska,,
2015,Arizona,,26.3756013529
2015,Arkansas,7.2385061866,29.6895724057
2015,California,2.04309901202,27.1245121685
2015,Colorado,,
2015,Connecticut,1.40197412256,36.2360706798
2015,Delaware,,29.3191358377
2015,District of Columbia,,
2015,DoDEA,,47.6576846544
2015,Florida,2.02247103177,34.8245051102
2015,Georgia,0.846713318809,32.053371543
2015,Hawaii,0.669218085398,24.5329747968
2015,Idaho,,41.3278642419
2015,Illinois,0.830673731858,29.4611069569
2015,Indiana,9.12646128701,36.9939251659
2015,Iowa,3.59106141265,39.6688455924
2015,Kansas,9.16017897021,37.0586344626
2015,Kentucky,,34.8783011505
2015,Louisiana,,
2015,Maine,,38.468971143
2015,Maryland,2.20726685065,37.0633528219
2015,Massachusetts,4.18187863922,46.5022309463
2015,Michigan,5.32125997475,36.891758029
2015,Minnesota,1.50348396447,47.4631647762
2015,Mississippi,,20.3562035659
2015,Missouri,,40.2724893747
2015,Montana,,42.0845334722
2015,Nebraska,,41.4702463787
2015,Nevada,4.47747354394,30.8651592123
2015,New Hampshire,,46.6418744477
2015,New Jersey,,35.3013475521
2015,New Mexico,1.00286658621,23.7673507058
2015,New York,1.85912135756,31.4333156684
2015,North Carolina,2.53708697143,32.0432446726
2015,North Dakota,,42.31235907
2015,Ohio,,39.1133850712
2015,Oklahoma,3.85840545016,29.6576465361
2015,Oregon,1.84075601559,37.4271948352
2015,Pennsylvania,,
2015,Rhode Island,2.04798764953,33.4184833611
2015,South Carolina,10.6346639362,32.3314267845
2015,South Dakota,,40.7438395893
2015,Tennessee,,38.0247193276
2015,Texas,4.25159757773,40.3624550217
2015,Utah,1.47600304421,51.6652292596
2015,Vermont,,44.3837046774
2015,Virginia,3.74572296876,41.56865909
2015,Washington,1.64945257964,40.5038911433
2015,West Virginia,,26.5813468423
2015,Wisconsin,5.79082267865,41.1958458621
2015,Wyoming,,38.536763961
