year,state,ell,not ell
2015,National,5.72906289882,34.8658243923
2015,Alabama,,17.3768505912
2015,Alaska,1.85751713447,35.6123366468
2015,Arizona,5.47817477792,35.9585311333
2015,Arkansas,7.41182445341,26.2718504294
2015,California,2.10484740099,31.3404604482
2015,Colorado,5.32673469327,41.0443739519
2015,Connecticut,1.01828058647,37.3054738371
2015,Delaware,,30.1564851536
2015,District of Columbia,3.47223017285,19.9159952409
2015,DoDEA,10.7074484308,41.1255316842
2015,Florida,3.55843238678,27.4920043178
2015,Georgia,4.47111693165,29.0220457459
2015,Hawaii,2.69779815499,31.950278181
2015,Idaho,,34.9265999168
2015,Illinois,7.46953908902,33.5196759274
2015,Indiana,15.2581193803,40.0550138848
2015,Iowa,7.80327493991,38.4675743412
2015,Kansas,14.834826795,35.3898654172
2015,Kentucky,,27.9670285247
2015,Louisiana,,18.0503116355
2015,Maine,,36.0761063399
2015,Maryland,8.20921890153,35.5568529561
2015,Massachusetts,9.88122195184,53.2134584254
2015,Michigan,12.2925434211,29.1063942244
2015,Minnesota,8.83652813674,50.485100564
2015,Mississippi,,21.8780218856
2015,Missouri,,31.7975891072
2015,Montana,,39.5402741243
2015,Nebraska,,38.5088433309
2015,Nevada,5.21194180938,29.6788789175
2015,New Hampshire,,47.0667822985
2015,New Jersey,,46.782285737
2015,New Mexico,1.99526927609,23.4462778302
2015,New York,6.99888412832,32.3995650494
2015,North Carolina,5.46272796126,33.9661398479
2015,North Dakota,,39.837148472
2015,Ohio,2.90374408811,36.3932876458
2015,Oklahoma,3.69253838746,23.8768118487
2015,Oregon,,34.6107140819
2015,Pennsylvania,5.26377787621,36.6959868342
2015,Rhode Island,4.60313134605,33.3754242462
2015,South Carolina,15.2869833865,26.1926744015
2015,South Dakota,,34.5511811838
2015,Tennessee,,29.6081185231
2015,Texas,6.40862857491,35.1692275982
2015,Utah,0.588284768863,39.1906775592
2015,Vermont,,42.5985701521
2015,Virginia,9.9267233266,39.062772852
2015,Washington,5.05544919105,41.8914673152
2015,West Virginia,,20.5104546071
2015,Wisconsin,9.98610510768,42.0179485364
2015,Wyoming,,36.1022035553
