year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,50.6047649957,19.8447579312,29.4057117107,66.7211809159,31.6106029479,23.1717053665,49.831191646
2015,Alabama,36.0668714709,10.7260317137,17.7857472617,,,,36.8665369584
2015,Alaska,47.1567545204,13.7221523682,30.5920020162,34.4972590826,17.259436578,13.1164256218,42.1520223464
2015,Arizona,54.4594233626,28.9516814818,27.5563842807,,21.775413439,,61.840933479
2015,Arkansas,38.9245178521,15.8745323295,24.8819526184,,39.5509469232,,40.9417927718
2015,California,39.5887844821,15.0185747563,19.7138632687,64.3224278026,22.7491359476,16.5306704289,57.2468510786
2015,Colorado,58.7286296442,25.27089851,26.0588377855,,,,50.5640189002
2015,Connecticut,52.6568635638,14.4856096398,25.6762776079,63.5796122109,,,45.2006891302
2015,Delaware,51.4433659175,21.0767367592,23.734110337,72.1415459714,,,39.7204426681
2015,District of Columbia,79.8990179756,20.8361966064,25.3364613643,,,,48.5359496241
2015,DoDEA,54.6455770669,31.190421348,44.8667056167,58.0551380766,,,57.1193001964
2015,Florida,55.0298194191,23.1830482495,37.384873696,80.183044427,25.5845083411,,50.0482028538
2015,Georgia,48.3466854809,20.4557344097,24.9342852521,62.7120340574,,,50.0395606753
2015,Hawaii,40.8012978576,25.5489725244,41.4699328872,59.2887257249,,23.4311088355,53.9175005993
2015,Idaho,46.4934131471,,22.3034539594,,22.1283309141,,39.5954546609
2015,Illinois,49.0647430444,15.469741864,24.9781202961,72.4567092955,,,47.6100882891
2015,Indiana,57.6460576649,22.8092282234,43.1668136608,,,,43.0959462819
2015,Iowa,51.9072447199,18.4916098422,28.9495144998,,,,39.4386532963
2015,Kansas,51.5665407751,13.2347692696,27.2672835551,,38.1731942968,,44.7654299852
2015,Kentucky,43.7831326552,20.1653845311,34.000683986,,34.4789595504,,56.2558052607
2015,Louisiana,41.4138790268,16.422314244,27.0174004022,,,,33.1262349011
2015,Maine,42.9221593342,17.2905188865,35.9502948111,,,,48.898048541
2015,Maryland,55.2149255093,23.4220183182,28.3968122443,71.7930816517,,,49.5998628844
2015,Massachusetts,62.7115900823,29.9616580671,32.5309351122,83.8700124936,,,58.6549755657
2015,Michigan,41.2403627484,10.9057517725,22.1542927806,59.6953776053,23.6682581135,,41.2774316068
2015,Minnesota,62.8814057076,29.4104565539,38.0102102631,50.7149170531,35.2452681904,,51.9389439129
2015,Mississippi,44.0993650992,15.9888123317,23.597589634,,,,37.4330233096
2015,Missouri,45.690641584,14.3155343661,30.0764119696,,31.7410482502,,44.9432687528
2015,Montana,48.1252324717,,32.7923168534,,14.5569837267,,36.3482555477
2015,Nebraska,57.8407372147,14.8356673297,26.6928433166,,,,40.4170810198
2015,Nevada,45.4577252818,14.3037618472,24.4244774394,57.1503190012,,,46.8292771038
2015,New Hampshire,53.0758498561,,41.9433614417,66.1628709928,,,56.324683843
2015,New Jersey,57.5690487005,22.3411389277,33.2232299079,81.3935532663,,,62.9444336367
2015,New Mexico,34.5630552834,13.4553071591,25.2526402003,,14.4914032124,,
2015,New York,44.9663336751,15.8941843337,24.9986840101,58.325632936,,,54.5918670369
2015,North Carolina,60.8176504564,22.7309944001,33.0899289003,65.1435505849,28.1878939013,,45.4201901651
2015,North Dakota,50.8508629028,20.347155304,32.3503865874,,20.9311881929,,51.1139947528
2015,Ohio,53.3382663319,14.8064048437,36.8102566904,,,,37.9425000017
2015,Oklahoma,42.562322782,17.8381237831,28.6103718239,,31.7756877232,,45.0891811596
2015,Oregon,45.5894188061,21.8336973175,23.3359293473,49.9962201579,21.15090275,,47.6415994951
2015,Pennsylvania,54.9461675917,18.7871897294,27.9822186767,60.7103840099,,,49.9969907167
2015,Rhode Island,48.1316021081,18.7554580423,23.0806058409,,,,35.1633251297
2015,South Carolina,49.0823406035,16.9243081029,32.0851265085,,,,36.6443787989
2015,South Dakota,48.2453632846,7.70912119144,30.0586149689,,17.1644492983,,47.927329783
2015,Tennessee,47.9605350324,19.8850510783,33.5539241888,,,,55.5248892412
2015,Texas,51.5763990061,27.6934549931,40.8612250174,75.5261666342,54.6690961666,,54.1374992173
2015,Utah,49.0218417456,,22.7360643648,,,,
2015,Vermont,44.330632966,,37.9024921282,,,,41.112217616
2015,Virginia,56.9916038193,26.5191697307,34.0616617648,77.1208719157,,,55.641801648
2015,Washington,58.0039362129,22.1038894281,27.1597127482,76.7421176134,33.3377671385,,52.976289729
2015,West Virginia,35.1272730967,13.0721399911,22.2661071153,,31.3035079395,,33.5665780738
2015,Wisconsin,55.9788431058,15.524461051,30.0828038265,53.0830335405,32.4999095318,,38.0388329437
2015,Wyoming,54.5568574147,,38.7237783025,,30.0990010458,,53.104498556
