year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,275.6829529,247.970773091,253.811376217,282.756389834,252.745965755,257.365566762,268.683788785
2015,Alabama,267.965480606,243.746663429,247.25668268,,,,257.633873835
2015,Alaska,275.964628979,249.249247563,262.728295664,260.125104813,231.029007157,241.728149424,269.428357235
2015,Arizona,277.137876839,251.644503181,255.020766611,,241.837654846,,275.97307533
2015,Arkansas,267.547076357,238.569343272,251.709195946,,,,258.37852388
2015,California,273.550795504,247.037494562,249.414286451,279.53533286,,,275.286513215
2015,Colorado,279.450498755,259.75187842,254.731643425,,,,265.311867259
2015,Connecticut,282.925776314,249.772138741,258.295815123,286.469332378,,,268.904451121
2015,Delaware,274.550325056,249.257936117,250.618603824,285.359724956,,,261.0647951
2015,District of Columbia,297.056843109,241.586734415,244.368941398,,,,255.030081498
2015,DoDEA,281.05669751,272.634623672,273.860998922,275.891357713,,,279.144246426
2015,Florida,273.060789077,251.138441732,259.627098644,285.953115544,,,261.979675653
2015,Georgia,274.560670698,247.664076244,254.299228713,281.652194096,,,275.688538718
2015,Hawaii,270.540682632,,260.031229794,264.876502158,,237.084329269,264.97587466
2015,Idaho,274.71680558,,256.043594647,,,,264.617294157
2015,Illinois,277.281745439,247.327375394,255.997388273,289.886542648,,,271.880666993
2015,Indiana,273.790534288,253.278283578,255.963985844,,,,262.748395982
2015,Iowa,272.033310389,247.717435692,254.707899264,,,,267.845924528
2015,Kansas,273.131341604,247.721057004,254.795302956,,,,263.476003363
2015,Kentucky,270.901200786,247.346173758,260.183967774,276.659309217,,,270.076580865
2015,Louisiana,267.4288354,242.243693245,250.575944031,,,,264.081741356
2015,Maine,270.209037934,246.235102449,257.730346118,,,,267.051061538
2015,Maryland,279.751337516,251.762734072,259.43532924,294.353050754,,,265.002360133
2015,Massachusetts,282.463356972,252.035119482,253.731594733,295.231712791,,,269.782631482
2015,Michigan,271.517265401,243.051836952,251.035508871,280.996779459,,,262.512898678
2015,Minnesota,277.039246339,245.405355415,254.525930691,266.194779475,248.478838914,,268.648986568
2015,Mississippi,266.222993059,240.288586252,236.743242804,,,,257.24359024
2015,Missouri,273.131416185,246.657951327,255.237977426,,,,263.021145807
2015,Montana,275.750685012,,257.774656143,,247.865299389,,264.000932189
2015,Nebraska,276.47273616,244.789739394,257.104056173,,,,263.21641782
2015,Nevada,271.200978616,245.582370513,251.575907378,280.793048644,,,267.355717595
2015,New Hampshire,276.540787049,,261.709040948,285.99191751,,,273.95895898
2015,New Jersey,279.311289459,251.123918103,257.109249758,296.419790929,,,271.696203637
2015,New Mexico,269.114033347,,249.754034703,,241.892986208,,264.818545906
2015,New York,274.412439729,248.226823995,251.359071863,277.655670505,,,273.29685201
2015,North Carolina,271.706355362,243.553953781,250.067494377,281.974928881,254.170985949,,261.43165118
2015,North Dakota,271.132998171,,254.947241319,,246.151436709,,267.13413705
2015,Ohio,272.823590317,246.68376306,248.108787432,,,,262.813924416
2015,Oklahoma,267.821449187,243.485940947,255.696343223,,256.005563397,,264.321210875
2015,Oregon,275.768869627,249.070278329,253.252903778,271.912326817,254.876577888,,272.68201211
2015,Pennsylvania,277.742476712,243.492427904,252.756948317,290.088273741,,,263.456243623
2015,Rhode Island,275.762341199,250.036338458,247.349833536,273.089293896,,,267.21455497
2015,South Carolina,271.593875603,244.057004521,247.751732878,,,,262.95413509
2015,South Dakota,272.372060565,258.09521395,251.416594728,,248.42798439,,263.901468476
2015,Tennessee,271.8980344,246.21207724,250.728755881,,,,264.459434624
2015,Texas,274.802063639,251.954832773,252.806743712,287.765907543,,,266.973095134
2015,Utah,273.992609067,,251.676367844,,247.11975253,,271.354256017
2015,Vermont,276.243091823,,260.317421508,,,,269.450232128
2015,Virginia,275.97905258,250.023206127,254.094057657,287.788744787,,,263.535179787
2015,Washington,277.777626742,247.486769533,250.788501332,279.242036894,247.901150781,,269.874335756
2015,West Virginia,261.842733663,246.312274829,250.749529272,,,,255.139627485
2015,Wisconsin,276.244370798,240.814057475,252.11514084,,253.154835785,,262.646905416
2015,Wyoming,274.212558636,,257.105565999,,243.474116971,,264.833265697
