year,state,ell,not ell
2015,National,110.172164723,156.64067392
2015,Alabama,,141.765690198
2015,Alaska,,
2015,Arizona,93.6173762221,149.665500391
2015,Arkansas,128.716938643,149.921348939
2015,California,100.928753742,149.787891694
2015,Colorado,,
2015,Connecticut,100.123034869,157.028204465
2015,Delaware,,149.614707834
2015,District of Columbia,,
2015,DoDEA,,167.240875171
2015,Florida,106.624267155,155.438406929
2015,Georgia,108.309763016,153.463763478
2015,Hawaii,90.6818963494,147.659876732
2015,Idaho,,161.862365094
2015,Illinois,109.702605264,151.888272668
2015,Indiana,130.463267729,157.480653609
2015,Iowa,118.260300803,160.427660178
2015,Kansas,133.157766233,158.086153781
2015,Kentucky,,157.754687991
2015,Louisiana,,
2015,Maine,,160.663751107
2015,Maryland,110.685200687,156.146730827
2015,Massachusetts,108.609361416,164.61037939
2015,Michigan,118.278924334,156.383744241
2015,Minnesota,110.382979355,165.075069218
2015,Mississippi,,139.985134858
2015,Missouri,,159.607349817
2015,Montana,,162.260372857
2015,Nebraska,,161.253708565
2015,Nevada,117.121418336,153.879963613
2015,New Hampshire,,165.719339742
2015,New Jersey,,156.414441273
2015,New Mexico,106.67692967,148.863660751
2015,New York,97.0527852173,152.547072487
2015,North Carolina,109.938429094,152.405828222
2015,North Dakota,,162.250750665
2015,Ohio,,158.973204149
2015,Oklahoma,113.788500164,152.894254463
2015,Oregon,100.089810471,158.321280189
2015,Pennsylvania,,
2015,Rhode Island,87.5125350823,154.073372855
2015,South Carolina,135.686135329,152.021068152
2015,South Dakota,,161.547798625
2015,Tennessee,,157.24993401
2015,Texas,118.267575594,160.56134306
2015,Utah,109.056554318,168.514329766
2015,Vermont,,163.774749192
2015,Virginia,125.851464985,161.194513412
2015,Washington,111.43961495,160.270249746
2015,West Virginia,,149.669617589
2015,Wisconsin,121.122498073,160.380878142
2015,Wyoming,,161.024655825
