year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,248.161451371,225.390869586,232.434558038,260.8364814,234.695382498,225.727194398,248.232761187
2015,Alabama,239.547272095,218.548138471,222.564823292,,,,239.455513042
2015,Alaska,246.283002265,221.089662176,235.44438565,238.85321795,219.407390995,215.760169176,243.385694643
2015,Arizona,248.835819807,228.809319758,231.212932299,,226.23184672,,252.760031212
2015,Arkansas,241.184473715,222.171109802,229.451069172,,238.583686579,,240.698325648
2015,California,239.713866295,220.45557992,224.287063043,258.887723234,227.819870387,215.701153206,253.607543077
2015,Colorado,253.262832273,229.312562566,229.218748182,,,,249.066829035
2015,Connecticut,248.904259596,219.532324148,228.826088652,257.547612494,,,246.910651303
2015,Delaware,248.238295434,228.414519639,230.659608488,260.180436663,,,241.208525918
2015,District of Columbia,268.313540346,223.984073388,226.867840026,,,,245.55723781
2015,DoDEA,251.051303748,236.69599957,244.664638667,254.792557591,,,252.133412367
2015,Florida,251.671569894,228.877358863,239.719498529,270.574969717,233.703621609,,248.221500282
2015,Georgia,246.580298296,225.511281614,229.479207418,258.899960085,,,248.256519512
2015,Hawaii,239.496603999,231.641116641,240.060471347,253.126331873,,227.215338491,248.59908965
2015,Idaho,245.074677715,,227.000145416,,226.443108023,,240.142582616
2015,Illinois,247.604978065,218.639114158,228.687726697,263.859446688,,,244.997788848
2015,Indiana,252.196994602,231.060880826,243.532904454,,,,246.078426402
2015,Iowa,248.678305389,223.273843266,232.913634567,,,,240.764070438
2015,Kansas,248.280358025,220.40401851,231.118994241,,236.922705468,,244.461027183
2015,Kentucky,244.458165402,227.112559309,236.005903215,,237.162930666,,252.473459961
2015,Louisiana,242.832346649,225.189131869,231.389242283,,,,235.817727105
2015,Maine,243.820972654,223.846671383,237.720608359,,,,247.479787731
2015,Maryland,251.551817684,226.030204481,230.481635671,262.836801457,,,248.59353393
2015,Massachusetts,256.331462726,234.802812944,235.288983058,276.329195137,,,254.348704751
2015,Michigan,242.297916578,214.981196061,225.233501131,256.48455126,230.012649112,,241.9830906
2015,Minnesota,257.111383475,230.317543896,237.471579843,246.689045979,236.321009486,,249.136605916
2015,Mississippi,245.2605488,225.251505775,227.03782169,,,,241.221947303
2015,Missouri,244.827348527,220.599989675,231.914220393,,231.963461775,,244.355573379
2015,Montana,246.832628728,,234.549051218,,219.866497111,,240.667308102
2015,Nebraska,251.982998307,220.949478172,231.78650259,,,,240.142350101
2015,Nevada,243.298600641,219.370488744,228.86010022,254.132153851,,,245.026134491
2015,New Hampshire,250.117785601,,242.719925977,261.550809834,,,253.356632505
2015,New Jersey,252.319078751,228.423868989,235.826107632,272.389564174,,,255.230966316
2015,New Mexico,237.110039323,218.905001367,229.984466334,,222.046157654,,
2015,New York,243.879207816,222.383412207,230.15911608,253.986726693,,,249.008671973
2015,North Carolina,254.51976314,229.337297844,235.72787016,258.005900812,233.813240251,,247.496712855
2015,North Dakota,249.009758664,227.345136561,235.086408837,,229.815343174,,249.343455116
2015,Ohio,249.762041431,222.880935703,238.063131571,,,,238.74331066
2015,Oklahoma,243.764536493,227.018902614,233.527817093,,237.187982947,,246.051838325
2015,Oregon,244.158973545,223.94270688,227.083200416,250.451049868,225.258964066,,245.946684415
2015,Pennsylvania,250.849887886,222.426668556,230.077596302,258.92233912,,,249.114956195
2015,Rhode Island,246.078731573,223.309153908,227.370467798,,,,237.401480839
2015,South Carolina,247.434905511,222.04981278,232.165994525,,,,241.146974322
2015,South Dakota,246.298567828,215.415848182,232.837386118,,221.315265419,,244.893190816
2015,Tennessee,246.512255358,226.458459071,234.74464862,,,,252.48031612
2015,Texas,249.57145803,233.213317025,241.373284764,267.104163469,249.997029128,,252.832147269
2015,Utah,246.678749721,,226.174414381,,,,
2015,Vermont,244.014756544,,240.023016411,,,,242.451780638
2015,Virginia,252.729728586,232.521870461,237.502377195,269.989993275,,,251.717063185
2015,Washington,253.011127492,227.337513497,229.258614381,270.345395674,235.982697442,,250.710424967
2015,West Virginia,237.713724529,218.807758823,224.535837339,,234.977164932,,237.160787724
2015,Wisconsin,251.330275759,215.910848958,233.215334004,248.530080952,236.080413385,,238.541371857
2015,Wyoming,251.227643594,,240.523516192,,232.41679021,,248.213456879
