year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,50.661845046,15.8109123088,24.6768575612,59.662355914,30.2427171739,23.045738351,48.8779241918
2015,Alabama,39.6784307232,8.91708693212,21.4929400563,,,,34.2606471907
2015,Arizona,48.9854474595,18.756319944,22.8833951201,,12.7326491669,,54.2464363354
2015,Arkansas,43.9989597504,10.8142472943,19.917607648,,30.437909852,,53.550200477
2015,California,36.0946837059,11.2975260593,14.8606826355,56.0106025688,,,46.8131424653
2015,Colorado,,,,,,,
2015,Connecticut,49.1925610759,9.94061065046,22.7751176447,52.7453500303,,,48.0368957789
2015,Delaware,48.6135256262,13.9455999394,19.8440941508,64.0950088248,,,38.1221836553
2015,DoDEA,60.702392665,27.0018468011,45.8153751989,48.1167457073,,,56.7506752587
2015,Florida,57.0262183873,17.2789886224,35.6706677957,,,,53.5995972218
2015,Georgia,51.7540065913,16.4031426868,24.8520712579,,,,44.2027359774
2015,Hawaii,42.7227900426,18.0678359661,26.0469269313,45.654032416,,18.4096477151,39.9007084184
2015,Idaho,46.385185041,,21.2552256458,,36.2516536056,,45.932252825
2015,Illinois,50.0354896652,11.4473687827,21.3839663898,63.4033556734,,,47.9696771729
2015,Indiana,51.4603518886,16.1727040141,25.2410942869,,,,49.2430183205
2015,Iowa,49.5083157434,16.1989825731,23.273292728,,,,42.4085606679
2015,Kansas,46.4675446165,21.8742296414,22.4127126202,,28.5923178557,,43.2073477025
2015,Kentucky,49.7921985468,24.0122345041,28.5280117078,,,,54.8540592612
2015,Louisiana,,,,,,,
2015,Maine,41.7101055698,15.7037378765,32.2814034449,,28.9082914232,,41.3265794632
2015,Maryland,54.6111076466,17.0508170637,23.5135265494,69.0368260901,,,50.6496931469
2015,Massachusetts,56.5398852076,17.7170779916,24.2573132275,71.3327273302,,,52.6254069889
2015,Michigan,46.6719612373,10.9082263403,23.586852284,60.8078791978,26.9926536505,,45.8790041429
2015,Minnesota,51.561931808,18.6195028827,28.9696155148,36.2626717883,36.0359786543,,40.848973853
2015,Mississippi,41.2798682408,8.91150940299,13.5743021493,,,,33.0548675387
2015,Missouri,48.5255550543,12.676205862,28.5486748871,,36.0072905034,,44.9186040007
2015,Montana,49.2486058401,,35.5132802988,,18.2433975943,,49.131729022
2015,Nebraska,59.0370087946,18.5232249859,26.6142339387,,28.3423452465,,54.861968745
2015,Nevada,37.177293508,12.5749766157,17.2885477096,36.8113903151,23.5034352282,,30.8483730528
2015,New Hampshire,53.4595270621,,33.6440925523,,,,65.284157492
2015,New Jersey,51.4861514036,15.5921566933,23.5822570969,66.2648992118,,,64.487352116
2015,New Mexico,37.5651035697,10.7399716819,20.4307577005,,11.2573908218,,42.175308309
2015,New York,46.9005589061,14.4894243871,20.7179110042,53.7157529553,24.6129411514,,47.8441995146
2015,North Carolina,52.4982796585,15.6214628268,21.5343031441,,21.5386120398,,45.1660642709
2015,North Dakota,50.3924033326,18.7191952482,35.2975361085,,24.1292514518,,46.9308012194
2015,Ohio,49.4326209784,11.8567598294,29.9202262739,,,,46.9547594881
2015,Oklahoma,41.872939782,15.4523475648,23.6626176602,,30.6540865317,,36.5097315662
2015,Oregon,46.8731828477,17.862465885,20.2314880043,54.6601543927,25.9028946604,,41.6659848997
2015,Pennsylvania,,,,,,,
2015,Rhode Island,45.6919524607,17.5303527667,21.8566666578,38.8992676948,,,49.0741624068
2015,South Carolina,56.5356292985,16.5137450984,30.2947857687,,,,48.480707775
2015,South Dakota,47.0024884908,20.3901538867,27.5067781127,,15.5154614811,,46.8692103144
2015,Tennessee,51.929520599,19.2133035559,27.8006576712,,,,56.0606974869
2015,Texas,52.7987452522,20.4938092647,32.2611903866,78.1455960288,,,60.4678107177
2015,Utah,52.1611483925,,16.7144346903,,,,44.2408657051
2015,Vermont,51.0846901598,19.8474370999,36.9121603065,,,,47.0463624497
2015,Virginia,62.1964046044,25.9769041003,36.1464080844,75.5555575878,,,56.8016683909
2015,Washington,54.257434334,19.5069774234,23.2637496302,60.0581581916,27.4702415168,,55.070911943
2015,West Virginia,34.0021753397,13.970901041,21.7163619032,,26.0797795482,,33.5083575548
2015,Wisconsin,52.2382773201,7.22353719335,25.3154213544,38.2293140141,32.0588372989,,34.7821044626
2015,Wyoming,51.4898930717,,32.2573947514,,25.5891653834,,41.5854178319
