year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,166.585315252,131.324167576,140.716417383,167.829844419,139.81807887,139.671551173,157.468243735
2015,Alabama,153.918436562,117.641223123,132.988965054,,,,144.346680288
2015,Alaska,,,,,,,
2015,Arizona,163.770078505,135.16766708,138.651086011,,129.00709426,,155.789995788
2015,Arkansas,160.321177367,121.455158307,140.07708269,,,,148.431095017
2015,California,164.045325505,122.779124766,130.979736512,164.105366295,,,161.44281572
2015,Colorado,,,,,,,
2015,Connecticut,165.688136268,130.605279013,136.420400324,172.971393802,,,154.208747386
2015,Delaware,163.643382823,128.701087834,139.052468305,,,,146.009106613
2015,District of Columbia,,,,,,,
2015,DoDEA,173.976644616,152.99590511,160.866179861,162.843313508,,,166.554279305
2015,Florida,166.390929918,135.046358058,148.022817103,173.133190379,,,153.42804662
2015,Georgia,166.533128703,135.360772631,145.467941058,167.383388033,,,157.346890797
2015,Hawaii,160.519531779,,146.712170147,151.188839507,,122.568985879,150.231968756
2015,Idaho,166.249395743,,145.771746644,,149.972549084,,161.604323461
2015,Illinois,162.628239633,125.529350839,139.165514371,164.66196315,,,152.3472294
2015,Indiana,163.66743794,123.389461775,141.823498564,,,,159.198574629
2015,Iowa,163.547261849,131.339428855,142.191545865,,,,159.238039473
2015,Kansas,164.959642467,127.538642679,142.210005567,,,,151.681454801
2015,Kentucky,160.802838266,134.683409237,150.453220507,,,,153.224332905
2015,Louisiana,,,,,,,
2015,Maine,161.180253015,131.391547777,150.384946268,,,,165.340535258
2015,Maryland,169.688891295,136.328242814,143.254676568,178.533264789,,,152.871900886
2015,Massachusetts,170.902209342,133.528850001,139.719858709,175.036988357,,,163.120389874
2015,Michigan,165.560885528,125.958635674,134.819692391,168.01425838,,,150.109554448
2015,Minnesota,171.609068673,128.051458202,139.238282355,145.195696925,146.223604733,,158.921834852
2015,Mississippi,159.705969287,122.541235063,128.709898548,,,,148.714645746
2015,Missouri,166.436193817,130.498484164,147.340618328,,,,161.396623425
2015,Montana,167.756716208,,149.974376933,,131.93036518,,157.592035686
2015,Nebraska,167.967663971,139.839415772,143.861909206,,,,157.387679735
2015,Nevada,164.829686496,127.996692826,139.460863109,167.830306367,,,157.482366788
2015,New Hampshire,166.839855473,,147.659819534,,,,170.206023011
2015,New Jersey,164.922034963,137.443001077,140.971691655,177.320731695,,,153.903094286
2015,New Mexico,163.003626799,132.611744929,138.977477763,,127.814915056,,156.763758131
2015,New York,164.962268438,132.025963113,134.163411301,161.732337461,,,154.846071444
2015,North Carolina,164.491609757,127.684883732,140.664134967,,136.884819742,,143.965590644
2015,North Dakota,166.791745968,,145.702308902,,138.602710754,,156.390100212
2015,Ohio,165.671465954,132.438495055,137.375033536,,,,154.717607085
2015,Oklahoma,158.37720328,128.242156715,137.994957181,,147.091970242,,154.546175229
2015,Oregon,164.680292615,,141.496566894,164.815554159,147.052199378,,159.476511165
2015,Pennsylvania,,,,,,,
2015,Rhode Island,163.089694762,130.529320196,130.530012242,,,,155.265964501
2015,South Carolina,165.19186585,130.821036309,138.274780234,,,,151.469377839
2015,South Dakota,166.512177243,,144.155480878,,137.399378701,,157.314036858
2015,Tennessee,165.414680969,129.328136925,143.084065881,,,,158.333315625
2015,Texas,172.341010739,139.320312011,148.795933689,177.791213352,,,161.835625669
2015,Utah,172.05130611,,144.009388159,,138.456695181,,
2015,Vermont,165.371489995,,149.766549734,,,,164.237774667
2015,Virginia,169.819466074,138.157769965,146.007261711,174.221381338,,,163.974996759
2015,Washington,169.193252927,134.559355847,138.30221248,169.708059131,142.263428593,,159.3549366
2015,West Virginia,151.230830159,130.426164569,139.563143786,,,,151.76373918
2015,Wisconsin,167.371334532,118.832656774,140.943256283,161.713806912,,,150.886690167
2015,Wyoming,165.536131216,,147.036094724,,,,156.96222403
