year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,232.041018836,208.281086666,212.067348136,242.148985978,213.065920623,210.01814853,231.269089016
2015,Alabama,226.637932453,206.315196353,203.822931942,,,,227.677325825
2015,Alaska,227.594039425,209.281259218,215.033326417,209.764568815,183.999656242,211.014267212,217.343942404
2015,Arizona,224.90050708,211.194322774,209.459492713,,195.302093303,,231.851147602
2015,Arkansas,224.431511633,204.95735988,212.587894404,,217.191512375,,222.41074353
2015,California,223.571050557,198.769144662,204.749565452,237.483209453,206.422685747,206.811059918,234.793483749
2015,Colorado,234.663718716,216.72577821,212.016831388,,,,237.609958399
2015,Connecticut,240.363811924,209.177379734,213.522980851,240.573282888,,,232.150061176
2015,Delaware,235.756913652,210.854220542,212.048660462,244.483637395,,,233.123843528
2015,District of Columbia,248.711475443,206.484330723,203.955889086,,,,224.971733942
2015,DoDEA,236.490188966,225.212424668,230.798619598,239.065700055,,228.082430892,239.506210255
2015,Florida,236.430112925,215.034390923,223.677623206,242.64238772,216.469456735,,228.808508846
2015,Georgia,232.488813101,212.765339567,212.507572261,239.349730655,,,234.282992979
2015,Hawaii,224.176641678,201.796672399,214.423190995,230.386330366,,202.688620712,228.979193463
2015,Idaho,227.504002944,,209.664111326,,215.455687349,,224.277490922
2015,Illinois,234.221503777,205.220519626,211.740490521,249.292725755,,,232.787569259
2015,Indiana,232.491990809,214.125759082,218.454136108,,,,228.588222138
2015,Iowa,229.711955257,200.367884024,212.345766092,,217.987897537,,225.438634486
2015,Kansas,230.176213495,202.756720549,208.623077215,229.538909707,213.415292451,,225.388983258
2015,Kentucky,231.582822398,214.723719364,221.858590471,,222.398514331,,226.167189359
2015,Louisiana,226.793544302,206.279664159,205.241279879,,,,234.85804949
2015,Maine,225.92421277,203.832808114,218.464855552,,210.202215859,,227.719926845
2015,Maryland,235.716957048,209.311634004,211.960838104,241.109464282,221.221016184,,233.680766504
2015,Massachusetts,242.172475419,216.9636972,219.213730046,255.983919774,,,240.821009726
2015,Michigan,223.15107076,195.795954334,204.614673014,237.172912739,212.656679456,,221.260478638
2015,Minnesota,233.088410833,201.98511615,205.795238298,225.153257111,200.777878745,,218.547818605
2015,Mississippi,226.884710393,204.356384855,204.287118627,,,,220.828398334
2015,Missouri,229.814102174,205.087987608,213.874199881,,,,223.677485312
2015,Montana,229.944088644,,213.893866253,,206.086259674,,229.698103289
2015,Nebraska,234.304658531,211.645295763,213.172967036,,210.639996187,,229.654114315
2015,Nevada,224.850258567,199.902075469,207.382552334,231.352703624,,,233.54044627
2015,New Hampshire,234.09665895,,225.230776329,241.49794308,,,241.597481995
2015,New Jersey,237.799248009,212.615928051,219.198646232,254.989944768,,,239.07839843
2015,New Mexico,217.084132772,191.70021505,205.291311862,,189.103597836,,229.677350284
2015,New York,231.920867695,210.783123717,212.054638914,238.330449982,218.241729425,,231.52805811
2015,North Carolina,237.032804164,214.374920825,214.682136829,241.419340836,209.654486801,,232.376830392
2015,North Dakota,229.620878259,203.755467765,215.222022259,,209.860394171,,224.867621758
2015,Ohio,230.58629073,208.34939196,216.150757239,,218.511413279,,228.494097238
2015,Oklahoma,227.406288096,206.008375928,213.234475255,,223.075004556,,228.102016204
2015,Oregon,228.33647177,207.981500504,206.77972412,238.182175113,216.897376081,,227.985591544
2015,Pennsylvania,235.259626292,204.560188084,211.975931003,240.927098761,,,228.725536233
2015,Rhode Island,234.117862838,213.150604646,213.290592225,235.439389132,,,226.161334864
2015,South Carolina,230.485849579,203.844061529,205.394415242,,,,228.930788801
2015,South Dakota,228.575165896,194.057110284,207.439208161,,196.36657436,,225.23321001
2015,Tennessee,227.656147441,203.532679855,204.886130794,,,,227.639947489
2015,Texas,227.314697532,205.824645442,213.004512851,251.389116404,219.480521796,,223.524978713
2015,Utah,231.188426017,,204.481926128,,,,
2015,Vermont,231.128379759,,228.572581247,,,,227.720028968
2015,Virginia,237.053123301,210.782409196,219.021351502,250.28776724,,,236.077903753
2015,Washington,234.092725702,211.518575532,208.229035208,252.355739476,211.348248142,223.967842755,235.857773299
2015,West Virginia,218.624746158,206.167716278,208.482211433,,209.61492873,,219.385049262
2015,Wisconsin,231.616105661,197.828175266,212.183677,219.160550738,207.942813919,,223.917362798
2015,Wyoming,232.362935228,,222.301941316,,209.91196111,,231.977935632
